WONUM,ASSETNUM,LINE,HNATOTALDT,HNACOMMODITY,FAILURECODE,PROBLEM_CODE,CAUSE_CODE,REMEDY_CODE,LEAD,SUPERVISOR,LABOR_COUNT,LABORHOURS,dt<=5,SHIFT,CREW,DATE,WEEKDAYNUM,ISWEEKEND
WONUM_1121,ASSET_009,LINE_001,20,FEED TUBE,MECHANICAL,CLEARALIGNFAIL,FAILRELMNGMT,REPAIR,LEAD_001,SUP_010,1.0,0.5,0,3,0,2023-04-09,1,1
WONUM_757,ASSET_006,LINE_002,6,SENSOR,PNEUMATIC,CLOGWICONT,OPERATIONREL,REPAIR,LEAD_025,SUP_010,2.0,1.0,0,3,0,2023-04-10,2,0
WONUM_917,ASSET_008,LINE_002,48,SWITCH,ELECTRICAL,EARTHISOFAULT,DESIGNREL,REPAIR,LEAD_022,SUP_008,2.0,3.0,0,1,1,2023-04-10,2,0
WONUM_599,ASSET_009,LINE_001,45,BRACKET,MECHANICAL,LOOSENESS,MISC,REPLACE,LEAD_031,SUP_008,2.0,1.75,0,1,1,2023-04-10,2,0
WONUM_1770,ASSET_009,LINE_001,90,ACCUMULATOR,MECHANICAL,CLEARALIGNFAIL,DESIGNREL,REPLACE,LEAD_023,SUP_007,3.0,6.0,0,3,0,2023-04-11,3,0
WONUM_1266,ASSET_005,LINE_002,1640,SWITCH,MECHANICAL,CLEARALIGNFAIL,DESIGNREL,REPAIR,LEAD_022,SUP_008,5.0,13.25,0,1,1,2023-04-11,3,0
WONUM_1206,ASSET_002,LINE_004,25,SWITCH,MECHANICAL,STICKING,MISC,CLEAN,LEAD_015,SUP_007,3.0,2.25,0,2,0,2023-04-11,3,0
WONUM_028,ASSET_006,LINE_002,120,SWITCH,HYDRAULIC,LEAKAGE,OPERATIONREL,REPLACE,LEAD_020,SUP_003,4.0,8.0,0,1,1,2023-04-12,4,0
WONUM_1721,ASSET_009,LINE_001,15,BUSHING,MECHANICAL,VIBRATION,MISC,ADJUST,LEAD_034,SUP_003,2.0,4.0,0,1,1,2023-04-12,4,0
WONUM_802,ASSET_008,LINE_002,10,SCANNER,MECHANICAL,STICKING,MISC,ADJUST,LEAD_020,SUP_003,4.0,2.5,0,1,1,2023-04-12,4,0
WONUM_286,ASSET_009,LINE_001,40,SWITCH,ELECTRICAL,FAULTPWRVOLT,DESIGNREL,REPAIR,LEAD_001,SUP_010,2.0,1.75,0,2,0,2023-04-12,4,0
WONUM_600,ASSET_009,LINE_001,30,OTHER,MECHANICAL,CLEARALIGNFAIL,DESIGNREL,CLEAN,LEAD_001,SUP_010,1.0,0.6666666666666666,0,3,0,2023-04-13,5,0
WONUM_738,ASSET_009,LINE_001,30,SWITCH,MECHANICAL,STICKING,MISC,CLEAN,LEAD_034,SUP_003,1.0,2.0,0,1,1,2023-04-13,5,0
WONUM_1444,ASSET_002,LINE_004,45,BUSHING,MECHANICAL,DEFORMATION,OPERATIONREL,REPLACE,LEAD_044,SUP_003,2.0,2.0,0,2,1,2023-04-13,5,0
WONUM_445,ASSET_010,LINE_004,10,CABLE,ELECTRICAL,SHORTCIRCUIT,MISC,REPLACE,LEAD_011,SUP_010,1.0,0.25,0,2,0,2023-04-13,5,0
WONUM_1464,ASSET_010,LINE_004,215,SWITCH,INSTRUMENT,FAULTPWRVOLT,MISC,REPLACE,LEAD_039,SUP_010,4.0,12.500000000000002,0,3,0,2023-04-14,6,0
WONUM_560,ASSET_010,LINE_004,105,CONTROLLER,INSTRUMENT,OUTOFADJ,MISC,RESET,LEAD_006,SUP_008,2.0,0.6666666666666666,0,1,1,2023-04-14,6,0
WONUM_1189,ASSET_009,LINE_001,15,CYLINDER,MECHANICAL,STICKING,MISC,CLEAN,LEAD_036,SUP_008,2.0,1.0,0,2,1,2023-04-14,6,0
WONUM_533,ASSET_008,LINE_002,60,SWITCH,MECHANICAL,DEFORMATION,MISC,INVESTIGATE,LEAD_019,SUP_008,3.0,3.0,0,2,1,2023-04-14,6,0
WONUM_1977,ASSET_009,LINE_001,30,SWITCH,MECHANICAL,LOOSENESS,MISC,REPAIR,LEAD_024,SUP_007,1.0,0.5,0,3,0,2023-04-17,2,0
WONUM_1240,ASSET_003,LINE_002,15,SWITCH,MECHANICAL,STICKING,MISC,CLEAN,LEAD_018,SUP_010,2.0,1.0,0,1,1,2023-04-17,2,0
WONUM_1429,ASSET_009,LINE_001,30,DEVICE LOCKS,MECHANICAL,DEFORMATION,MISC,CLEAN,LEAD_034,SUP_003,3.0,3.0,0,3,0,2023-04-19,4,0
WONUM_736,ASSET_002,LINE_004,30,ACTUATOR,PNEUMATIC,IMPRPERLUB,MISC,ADJUST,LEAD_030,SUP_003,1.0,0.5,0,3,0,2023-04-19,4,0
WONUM_1143,ASSET_009,LINE_001,30,PLATTEN,MECHANICAL,STICKING,MISC,INVESTIGATE,LEAD_036,SUP_008,2.0,1.5,0,2,1,2023-04-19,4,0
WONUM_1248,ASSET_009,LINE_001,0,FEED TUBE,MECHANICAL,STICKING,MISC,RESET,LEAD_019,SUP_008,1.0,0.0166666666666666,1,1,1,2023-04-20,5,0
WONUM_083,ASSET_009,LINE_001,15,FEED TUBE,MECHANICAL,CLEARALIGNFAIL,MISC,RESET,LEAD_019,SUP_008,2.0,1.0,0,1,1,2023-04-20,5,0
WONUM_1983,ASSET_009,LINE_001,15,FEED TUBE,MECHANICAL,CLEARALIGNFAIL,MISC,CLEAN,LEAD_019,SUP_008,2.0,1.0,0,1,1,2023-04-20,5,0
WONUM_569,ASSET_001,LINE_002,12,SWITCH,MECHANICAL,CLEARALIGNFAIL,MISC,CLEAN,LEAD_043,SUP_007,1.0,0.5,0,3,0,2023-04-21,6,0
WONUM_1209,ASSET_001,LINE_002,30,ACCUMULATOR,MECHANICAL,CLEARALIGNFAIL,DESIGNREL,REPAIR,LEAD_043,SUP_007,2.0,2.0,0,3,0,2023-04-21,6,0
WONUM_1708,ASSET_010,LINE_004,430,SWITCH,ELECTRICAL,FAULTPWRVOLT,MISC,REPLACE,LEAD_024,SUP_007,1.0,0.5,0,3,0,2023-04-21,6,0
WONUM_1984,ASSET_006,LINE_002,60,MACHINE LOADER,MECHANICAL,CLEARALIGNFAIL,MISC,ADJUST,LEAD_018,SUP_010,4.0,10.0,0,2,1,2023-04-21,6,0
WONUM_1028,ASSET_002,LINE_004,20,SWITCH,ELECTRICAL,FAULTPWRVOLT,MISC,RESET,LEAD_044,SUP_003,2.0,1.0,0,2,1,2023-04-21,6,0
WONUM_114,ASSET_010,LINE_004,15,GRIPPER,MECHANICAL,CLEARALIGNFAIL,MISC,INVESTIGATE,LEAD_027,SUP_003,2.0,0.6666666666666666,0,3,0,2023-04-24,2,0
WONUM_086,ASSET_003,LINE_002,1361,CHILLER,ELECTRICAL,EARTHISOFAULT,DESIGNREL,REPLACE,LEAD_009,SUP_005,4.0,12.0,0,3,0,2023-04-24,2,0
WONUM_118,ASSET_009,LINE_001,60,SCRAP CHUTE,MATERIAL,EXCESSIVE,MISC,CLEAN,LEAD_034,SUP_003,2.0,2.0,0,3,0,2023-04-24,2,0
WONUM_755,ASSET_008,LINE_002,15,"NUTS, BOLTS, PINS",MECHANICAL,LOOSENESS,FABINSTALLREL,REPAIR,LEAD_043,SUP_007,2.0,1.5,0,2,1,2023-04-24,2,0
WONUM_839,ASSET_001,LINE_002,30,ACTUATOR,MECHANICAL,LOOSENESS,MISC,ADJUST,LEAD_043,SUP_007,1.0,0.5,0,2,1,2023-04-24,2,0
WONUM_1023,ASSET_005,LINE_002,6590,HOSE,MECHANICAL,LEAKAGE,MISC,REPLACE,LEAD_043,SUP_007,3.0,12.083333333333334,0,2,1,2023-04-24,2,0
WONUM_1490,ASSET_010,LINE_004,20,CLAMP,MECHANICAL,STICKING,MISC,CLEAN,LEAD_006,SUP_008,2.0,0.6666666666666666,0,3,0,2023-04-25,3,0
WONUM_262,ASSET_009,LINE_001,0,SWITCH,ELECTRICAL,EARTHISOFAULT,OPERATIONREL,POLISH,LEAD_002,SUP_008,1.0,0.1,1,3,0,2023-04-25,3,0
WONUM_700,ASSET_009,LINE_001,148,SHAFT,MECHANICAL,LOOSENESS,MISC,REPLACE,LEAD_002,SUP_008,2.0,3.25,0,3,0,2023-04-25,3,0
WONUM_775,ASSET_006,LINE_002,60,ACCUMULATOR,MECHANICAL,CLEARALIGNFAIL,DESIGNREL,ADJUST,LEAD_023,SUP_007,3.0,4.0,0,1,1,2023-04-25,3,0
WONUM_631,ASSET_006,LINE_002,15,BEARING,MECHANICAL,STICKING,OPERATIONREL,CLEAN,LEAD_043,SUP_007,1.0,0.5,0,1,1,2023-04-25,3,0
WONUM_1423,ASSET_001,LINE_002,30,SWITCH,MECHANICAL,VIBRATION,OPERATIONREL,MODIFY,LEAD_043,SUP_007,2.0,1.0,0,1,1,2023-04-25,3,0
WONUM_1453,ASSET_009,LINE_001,30,GUIDE PINS,MECHANICAL,VIBRATION,DESIGNREL,RESET,LEAD_043,SUP_007,2.0,1.5,0,1,1,2023-04-25,3,0
WONUM_722,ASSET_010,LINE_004,15,SWITCH,ELECTRICAL,FAULTPWRVOLT,OPERATIONREL,CLEAN,LEAD_026,SUP_007,2.0,1.0,0,1,1,2023-04-25,3,0
WONUM_1588,ASSET_004,LINE_003,3060,SWITCH,ELECTRICAL,FAULTPWRVOLT,OPERATIONREL,REPAIR,LEAD_035,SUP_007,3.0,8.0,0,2,1,2023-04-25,3,0
WONUM_1210,ASSET_002,LINE_004,445,CYLINDER,MECHANICAL,STICKING,MISC,REPLACE,LEAD_039,SUP_010,3.0,11.0,0,1,1,2023-04-26,4,0
WONUM_009,ASSET_008,LINE_002,12,VALVE,PNEUMATIC,CLOGWICONT,MISC,ADJUST,LEAD_025,SUP_010,2.0,3.0,0,1,1,2023-04-26,4,0
WONUM_1177,ASSET_009,LINE_001,20,HOSE,PNEUMATIC,CLOGWICONT,MISC,REPLACE,LEAD_001,SUP_010,1.0,1.5,0,2,1,2023-04-26,4,0
WONUM_1483,ASSET_001,LINE_002,45,SWITCH,MECHANICAL,LEAKAGE,MISC,ADJUST,LEAD_018,SUP_010,2.0,2.0,0,2,1,2023-04-26,4,0
WONUM_273,ASSET_005,LINE_002,0,SEAL,MECHANICAL,LEAKAGE,MISC,REPAIR,LEAD_025,SUP_010,13.0,55.0,1,2,1,2023-04-26,4,0
WONUM_289,ASSET_001,LINE_002,45,SWITCH,MECHANICAL,CLEARALIGNFAIL,MISC,CLEAN,LEAD_018,SUP_010,2.0,3.0,0,2,1,2023-04-26,4,0
WONUM_1941,ASSET_003,LINE_002,10,SWITCH,MECHANICAL,STICKING,MISC,RESET,LEAD_020,SUP_003,1.0,0.5,0,3,0,2023-04-26,4,0
WONUM_315,ASSET_004,LINE_003,0,UNKNOWN,EXTERNALINFL,MISCEXTINFL,MISC,INVESTIGATE,LEAD_027,SUP_003,5.0,7.0,1,3,0,2023-04-27,5,0
WONUM_1508,ASSET_002,LINE_004,45,MACHINE LOADER,MATERIAL,EXCESSIVE,MISC,MODIFY,LEAD_044,SUP_003,2.0,2.0,0,3,0,2023-04-28,6,0
WONUM_085,ASSET_010,LINE_004,30,SWITCH,ELECTRICAL,FAULTPWRVOLT,MISC,REPAIR,LEAD_026,SUP_007,2.0,1.5,0,2,1,2023-04-28,6,0
WONUM_749,ASSET_004,LINE_003,180,PROBE,ELECTRICAL,NOPWRVOLT,MISC,REPAIR,LEAD_007,SUP_008,3.0,2.25,0,2,0,2023-04-28,6,0
WONUM_1921,ASSET_002,LINE_004,20,SWITCH,ELECTRICAL,FAULTPWRVOLT,MISC,CLEAN,LEAD_007,SUP_008,4.0,2.0,0,3,0,2023-04-28,6,0
WONUM_1343,ASSET_002,LINE_004,20,MACHINE LOADER,MECHANICAL,CLEARALIGNFAIL,MISC,CLEAN,LEAD_044,SUP_003,3.0,1.5,0,1,1,2023-05-01,2,0
WONUM_867,ASSET_002,LINE_004,45,MACHINE LOADER,MECHANICAL,LOOSENESS,MISC,REPLACE,LEAD_044,SUP_003,3.0,3.0,0,1,1,2023-05-01,2,0
WONUM_1834,ASSET_002,LINE_004,30,MACHINE LOADER,MECHANICAL,STICKING,MISC,REPLACE,LEAD_044,SUP_003,4.0,3.5,0,1,1,2023-05-01,2,0
WONUM_030,ASSET_008,LINE_002,30,OTHER,EXTERNALINFL,CONTAMINT,MISC,CLEAN,LEAD_010,SUP_003,2.0,2.0,0,2,1,2023-05-01,2,0
WONUM_206,ASSET_001,LINE_002,26,ARM TOOLING,MECHANICAL,STICKING,MISC,CLEAN,LEAD_014,SUP_007,1.0,0.5,0,3,0,2023-05-02,3,0
WONUM_659,ASSET_008,LINE_002,6,SENSOR,ELECTRICAL,NOPWRVOLT,MISC,MODIFY,LEAD_025,SUP_010,2.0,3.8,0,3,0,2023-05-02,3,0
WONUM_747,ASSET_002,LINE_004,10,FEED TUBE,MECHANICAL,VIBRATION,MISC,ADJUST,LEAD_044,SUP_003,3.0,1.5,0,1,1,2023-05-02,3,0
WONUM_584,ASSET_008,LINE_002,10,SWITCH,ELECTRICAL,NOPWRVOLT,MISC,RESET,LEAD_020,SUP_003,2.0,2.0,0,1,1,2023-05-02,3,0
WONUM_1609,ASSET_002,LINE_004,30,MACHINE LOADER,MECHANICAL,STICKING,MISC,CLEAN,LEAD_044,SUP_003,4.0,4.0,0,1,1,2023-05-02,3,0
WONUM_1652,ASSET_002,LINE_004,195,CYLINDER,MECHANICAL,LEAKAGE,MISC,REPAIR,LEAD_039,SUP_010,4.0,12.0,0,2,0,2023-05-02,3,0
WONUM_1513,ASSET_004,LINE_003,20,VARI-LIMIT,MECHANICAL,CLEARALIGNFAIL,MISC,ADJUST,LEAD_011,SUP_010,3.0,1.5,0,3,0,2023-05-03,4,0
WONUM_1067,ASSET_009,LINE_001,40,OTHER,MECHANICAL,STICKING,MISC,CLEAN,LEAD_001,SUP_010,2.0,3.0,0,3,0,2023-05-03,4,0
WONUM_1214,ASSET_009,LINE_001,10,PHOTO EYES,ELECTRICAL,FAULTPWRVOLT,MISC,CLEAN,LEAD_001,SUP_010,2.0,0.6666666666666666,0,3,0,2023-05-03,4,0
WONUM_930,ASSET_002,LINE_004,35,SWITCH,ELECTRICAL,FAULTPWRVOLT,MISC,REPAIR,LEAD_015,SUP_007,3.0,3.0,0,1,1,2023-05-03,4,0
WONUM_417,ASSET_009,LINE_001,20,PHOTO EYES,ELECTRICAL,SHORTCIRCUIT,MISC,CLEAN,LEAD_032,SUP_007,2.0,1.0,0,2,1,2023-05-03,4,0
WONUM_1059,ASSET_002,LINE_004,30,SWITCH,MECHANICAL,LOOSENESS,MISC,REPAIR,LEAD_007,SUP_008,2.0,1.5,0,3,0,2023-05-04,5,0
WONUM_1678,ASSET_009,LINE_001,260,ACTUATOR,MECHANICAL,STICKING,MISC,INVESTIGATE,LEAD_002,SUP_008,4.0,8.0,0,3,0,2023-05-04,5,0
WONUM_1079,ASSET_002,LINE_004,15,SWITCH,ELECTRICAL,FAULTPWRVOLT,MISC,RESET,LEAD_026,SUP_007,2.0,1.5,0,1,1,2023-05-04,5,0
WONUM_543,ASSET_009,LINE_001,45,ACTUATOR,MECHANICAL,CLEARALIGNFAIL,MISC,REPAIR,LEAD_032,SUP_007,3.0,3.0,0,1,1,2023-05-04,5,0
WONUM_275,ASSET_008,LINE_002,90,ACCUMULATOR,MECHANICAL,CLEARALIGNFAIL,DESIGNREL,ADJUST,LEAD_023,SUP_007,1.0,2.5,0,1,1,2023-05-04,5,0
WONUM_1876,ASSET_001,LINE_002,10,ACCUMULATOR,ELECTRICAL,EARTHISOFAULT,DESIGNREL,CLEAN,LEAD_023,SUP_007,2.0,1.0,0,1,1,2023-05-04,5,0
WONUM_404,ASSET_001,LINE_002,40,CHAIN,MECHANICAL,CLEARALIGNFAIL,MISC,CLEAN,LEAD_024,SUP_007,1.0,0.5,0,2,1,2023-05-04,5,0
WONUM_1603,ASSET_009,LINE_001,90,CONNECTOR,MATERIAL,BREAKAGE,DESIGNREL,REPLACE,LEAD_034,SUP_003,2.0,4.0,0,1,1,2023-05-05,6,0
WONUM_1610,ASSET_003,LINE_002,30,SPINDLE,EXTERNALINFL,CONTAMINT,MISC,CLEAN,LEAD_010,SUP_003,2.0,1.5,0,1,1,2023-05-05,6,0
WONUM_1763,ASSET_008,LINE_002,0,PROGRAM,EXTERNALINFL,MISCEXTINFL,MISC,RESET,LEAD_025,SUP_010,2.0,2.0,1,3,0,2023-05-06,7,1
WONUM_1617,ASSET_002,LINE_004,15,SWITCH,INSTRUMENT,FAULTPWRVOLT,MISC,CLEAN,LEAD_039,SUP_010,4.0,1.6666666666666667,0,3,0,2023-05-08,2,0
WONUM_1711,ASSET_002,LINE_004,30,SWITCH,PNEUMATIC,LEAKAGE,MISC,CLEAN,LEAD_039,SUP_010,4.0,3.0,0,3,0,2023-05-08,2,0
WONUM_194,ASSET_003,LINE_002,30,ARM TOOLING,MECHANICAL,STICKING,MISC,RESET,LEAD_018,SUP_010,2.0,1.3333333333333333,0,3,0,2023-05-08,2,0
WONUM_100,ASSET_009,LINE_001,30,ACCUMULATOR,EXTERNALINFL,MISCEXTINFL,OPERATIONREL,RESET,LEAD_031,SUP_008,2.0,1.3333333333333333,0,3,0,2023-05-08,2,0
WONUM_1044,ASSET_002,LINE_004,15,SWITCH,ELECTRICAL,FAULTPWRVOLT,MISC,CLEAN,LEAD_015,SUP_007,2.0,1.0,0,3,0,2023-05-09,3,0
WONUM_1673,ASSET_009,LINE_001,30,ACCUMULATOR,EXTERNALINFL,MISCEXTINFL,OPERATIONREL,RESET,LEAD_036,SUP_008,2.0,1.25,0,1,1,2023-05-09,3,0
WONUM_565,ASSET_001,LINE_002,15,CLAMP,MECHANICAL,STICKING,MISC,CLEAN,LEAD_019,SUP_008,2.0,1.0,0,2,1,2023-05-09,3,0
WONUM_620,ASSET_001,LINE_002,60,VALVE,MECHANICAL,STICKING,DESIGNREL,REPLACE,LEAD_043,SUP_007,2.0,5.0,0,2,1,2023-05-09,3,0
WONUM_1271,ASSET_002,LINE_004,30,TIP HOLDER,MECHANICAL,LOOSENESS,OPERATIONREL,REPLACE,LEAD_026,SUP_007,2.0,1.5,0,3,0,2023-05-09,3,0
WONUM_557,ASSET_002,LINE_004,30,FEED TUBE,MATERIAL,EXCESSIVE,MISC,CLEAN,LEAD_044,SUP_003,2.0,1.0,0,1,1,2023-05-10,4,0
WONUM_790,ASSET_004,LINE_003,35,PROGRAM,INSTRUMENT,OUTOFADJ,MISC,MODIFY,LEAD_033,SUP_003,1.0,0.5833333333333334,0,1,1,2023-05-10,4,0
WONUM_1824,ASSET_001,LINE_002,20,ACCUMULATOR,ELECTRICAL,SHORTCIRCUIT,MISC,ADJUST,LEAD_020,SUP_003,2.0,1.5,0,1,1,2023-05-10,4,0
WONUM_1723,ASSET_009,LINE_001,40,OTHER,MECHANICAL,STICKING,MISC,CLEAN,LEAD_001,SUP_010,1.0,1.0,0,2,0,2023-05-10,4,0
WONUM_094,ASSET_006,LINE_002,1211,BALL SCREW,MECHANICAL,LOOSENESS,MISC,REPLACE,LEAD_020,SUP_003,4.0,17.0,0,2,1,2023-05-11,5,0
WONUM_1063,ASSET_006,LINE_002,0,BALL SCREW,MECHANICAL,LOOSENESS,MISC,REPLACE,LEAD_014,SUP_007,6.0,34.0,1,2,1,2023-05-11,5,0
WONUM_885,ASSET_009,LINE_001,60,TUBING,MECHANICAL,STICKING,MISC,REPLACE,LEAD_014,SUP_007,2.0,3.0,0,3,0,2023-05-11,5,0
WONUM_1868,ASSET_002,LINE_004,30,SWITCH,INSTRUMENT,FAULTPWRVOLT,MISC,CLEAN,LEAD_039,SUP_010,2.0,1.0,0,3,0,2023-05-12,6,0
WONUM_391,ASSET_006,LINE_002,0,SWITCH,ELECTRICAL,EARTHISOFAULT,DESIGNREL,REPLACE,LEAD_022,SUP_008,1.0,0.0833333333333333,1,3,0,2023-05-12,6,0
WONUM_051,ASSET_009,LINE_001,270,ARM TOOLING,MECHANICAL,VIBRATION,MISC,MODIFY,LEAD_036,SUP_008,3.0,7.0,0,1,1,2023-05-12,6,0
WONUM_1709,ASSET_008,LINE_002,60,ORIFICE,HYDRAULIC,LOWFLUIDLVL,MISC,CLEAN,LEAD_019,SUP_008,2.0,3.0,0,1,1,2023-05-12,6,0
WONUM_1597,ASSET_009,LINE_001,90,SWITCH,ELECTRICAL,FAULTPWRVOLT,MISC,RESET,LEAD_024,SUP_007,1.0,0.5,0,3,0,2023-05-13,7,1
