"WONUM","ASSETNUM","LINE","HNATOTALDT","HNACOMMODITY","FAILURECODE","PROBLEM_CODE","CAUSE_CODE","REMEDY_CODE","LEAD","SUPERVISOR","LABOR_COUNT","LABORHOURS","dt<=5","SHIFT","CREW","Date","WEEKDAYNUM","ISWEEKEND"
M39556914,A119981,"3EMB",412,VALVE,HYDRAULIC,LEAKAGE,MISC,REPLACE,VF033640,HA20804,7,23.0,0,3,0,2023-04-05,4,0
M39570782,A119779,"3EMO",30,SWITCH,ELECTRICAL,FAULTPWRVOLT,OPERATIONREL,INVESTIGATE,VF046729,VF045328,3,3.0,0,1,1,2023-04-06,5,0
M39573713,A119898,"3EME",30,ACCUMULATOR,MECHANICAL,STICKING,MISC,RESET,HA25654,VF032781,2,1.2,0,3,0,2023-04-07,6,0
M39574568,A119779,"3EMO",25,SWITCH,MECHANICAL,STICKING,MISC,CLEAN,VF059547,VF032781,1,0.4166666666666667,0,3,0,2023-04-07,6,0
M39578787,A119981,"3EMB",30,OTHER,MECHANICAL,CLEARALIGNFAIL,MISC,ADJUST,HA18137,HA19466,2,1.5,0,1,1,2023-04-07,6,0
M39578794,A119971,"3EMB",30,OTHER,ELECTRICAL,FAULTPWRVOLT,MISC,CLEAN,HA18137,HA19466,2,2.0,0,1,1,2023-04-07,6,0
M39578799,A119898,"3EME",60,SWITCH,ELECTRICAL,FAULTPWRVOLT,MISC,REPAIR,VF040631,HA19466,5,7.0,0,1,1,2023-04-07,6,0
M39578842,A119779,"3EMO",45,MACHINE LOADER,ELECTRICAL,FAULTPWRVOLT,MISC,RESET,VF037510,HA19466,3,2.25,0,1,1,2023-04-07,6,0
M39595434,A119898,"3EME",20,FEED TUBE,MECHANICAL,CLEARALIGNFAIL,FAILRELMNGMT,REPAIR,VF039446,HA20804,1,0.5,0,3,0,2023-04-09,1,1
M39597812,A119992,"3EMB",6,SENSOR,PNEUMATIC,CLOGWICONT,OPERATIONREL,REPAIR,VF056605,HA20804,2,1.0,0,3,0,2023-04-10,2,0
M39602576,A119971,"3EMB",48,SWITCH,ELECTRICAL,EARTHISOFAULT,DESIGNREL,REPAIR,VF044368,VF032781,2,3.0,0,1,1,2023-04-10,2,0
M39602835,A119898,"3EME",45,BRACKET,MECHANICAL,LOOSENESS,MISC,REPLACE,HA25654,VF032781,2,1.75,0,1,1,2023-04-10,2,0
M39605800,A119898,"3EME",90,ACCUMULATOR,MECHANICAL,CLEARALIGNFAIL,DESIGNREL,REPLACE,VF032427,VF045328,3,6.0,0,3,0,2023-04-11,3,0
M39609551,A119859,"3EMB",1640,SWITCH,MECHANICAL,CLEARALIGNFAIL,DESIGNREL,REPAIR,VF044368,VF032781,5,13.25,0,1,1,2023-04-11,3,0
M39612051,A119779,"3EMO",25,SWITCH,MECHANICAL,STICKING,MISC,CLEAN,VF046345,VF045328,3,2.25,0,2,0,2023-04-11,3,0
M39617458,A119992,"3EMB",120,SWITCH,HYDRAULIC,LEAKAGE,OPERATIONREL,REPLACE,VF043268,HA19466,4,8.0,0,1,1,2023-04-12,4,0
M39619118,A119898,"3EME",15,BUSHING,MECHANICAL,VIBRATION,MISC,ADJUST,VF040631,HA19466,2,4.0,0,1,1,2023-04-12,4,0
M39619131,A119971,"3EMB",10,SCANNER,MECHANICAL,STICKING,MISC,ADJUST,VF043268,HA19466,4,2.5,0,1,1,2023-04-12,4,0
M39620104,A119898,"3EME",40,SWITCH,ELECTRICAL,FAULTPWRVOLT,DESIGNREL,REPAIR,VF039446,HA20804,2,1.75,0,2,0,2023-04-12,4,0
M39623482,A119898,"3EME",30,OTHER,MECHANICAL,CLEARALIGNFAIL,DESIGNREL,CLEAN,VF039446,HA20804,1,0.6666666666666666,0,3,0,2023-04-13,5,0
M39640638,A119898,"3EME",30,SWITCH,MECHANICAL,STICKING,MISC,CLEAN,VF040631,HA19466,1,2.0,0,1,1,2023-04-13,5,0
M39640679,A119779,"3EMO",45,BUSHING,MECHANICAL,DEFORMATION,OPERATIONREL,REPLACE,VF037510,HA19466,2,2.0,0,2,1,2023-04-13,5,0
M39641479,A119760,"3EMO",10,CABLE,ELECTRICAL,SHORTCIRCUIT,MISC,REPLACE,HA23032,HA20804,1,0.25,0,2,0,2023-04-13,5,0
M39644599,A119760,"3EMO",215,SWITCH,INSTRUMENT,FAULTPWRVOLT,MISC,REPLACE,VF040657,HA20804,4,12.500000000000002,0,3,0,2023-04-14,6,0
M39650387,A119760,"3EMO",105,CONTROLLER,INSTRUMENT,OUTOFADJ,MISC,RESET,VF059547,VF032781,2,0.6666666666666666,0,1,1,2023-04-14,6,0
M39650498,A119898,"3EME",15,CYLINDER,MECHANICAL,STICKING,MISC,CLEAN,VF048682,VF032781,2,1.0,0,2,1,2023-04-14,6,0
M39650500,A119971,"3EMB",60,SWITCH,MECHANICAL,DEFORMATION,MISC,INVESTIGATE,VF025596,VF032781,3,3.0,0,2,1,2023-04-14,6,0
M39672512,A119898,"3EME",30,SWITCH,MECHANICAL,LOOSENESS,MISC,REPAIR,VF032770,VF045328,1,0.5,0,3,0,2023-04-17,2,0
M39676798,A119970,"3EMB",15,SWITCH,MECHANICAL,STICKING,MISC,CLEAN,VF033640,HA20804,2,1.0,0,1,1,2023-04-17,2,0
M39689228,A119898,"3EME",30,DEVICE LOCKS,MECHANICAL,DEFORMATION,MISC,CLEAN,VF040631,HA19466,3,3.0,0,3,0,2023-04-19,4,0
M39689254,A119779,"3EMO",30,ACTUATOR,PNEUMATIC,IMPRPERLUB,MISC,ADJUST,VF026838,HA19466,1,0.5,0,3,0,2023-04-19,4,0
M39695574,A119898,"3EME",30,PLATTEN,MECHANICAL,STICKING,MISC,INVESTIGATE,VF048682,VF032781,2,1.5,0,2,1,2023-04-19,4,0
M39700414,A119898,"3EME",0,FEED TUBE,MECHANICAL,STICKING,MISC,RESET,VF025596,VF032781,1,0.016666666666666666,1,1,1,2023-04-20,5,0
M39700447,A119898,"3EME",15,FEED TUBE,MECHANICAL,CLEARALIGNFAIL,MISC,RESET,VF025596,VF032781,2,1.0,0,1,1,2023-04-20,5,0
M39700531,A119898,"3EME",15,FEED TUBE,MECHANICAL,CLEARALIGNFAIL,MISC,CLEAN,VF025596,VF032781,2,1.0,0,1,1,2023-04-20,5,0
M39704972,A119981,"3EMB",12,SWITCH,MECHANICAL,CLEARALIGNFAIL,MISC,CLEAN,VF056054,VF045328,1,0.5,0,3,0,2023-04-21,6,0
M39704981,A119981,"3EMB",30,ACCUMULATOR,MECHANICAL,CLEARALIGNFAIL,DESIGNREL,REPAIR,VF056054,VF045328,2,2.0,0,3,0,2023-04-21,6,0
M39706421,A119760,"3EMO",430,SWITCH,ELECTRICAL,FAULTPWRVOLT,MISC,REPLACE,VF032770,VF045328,1,0.5,0,3,0,2023-04-21,6,0
M39716242,A119992,"3EMB",60,MACHINE LOADER,MECHANICAL,CLEARALIGNFAIL,MISC,ADJUST,VF033640,HA20804,4,10.0,0,2,1,2023-04-21,6,0
M39716447,A119779,"3EMO",20,SWITCH,ELECTRICAL,FAULTPWRVOLT,MISC,RESET,VF037510,HA19466,2,1.0,0,2,1,2023-04-21,6,0
M39760205,A119760,"3EMO",15,GRIPPER,MECHANICAL,CLEARALIGNFAIL,MISC,INVESTIGATE,VF040535,HA19466,2,0.6666666666666666,0,3,0,2023-04-24,2,0
M39760404,A119970,"3EMB",1361,CHILLER,ELECTRICAL,EARTHISOFAULT,DESIGNREL,REPLACE,HA19466,HA26293,4,12.0,0,3,0,2023-04-24,2,0
M39760473,A119898,"3EME",60,SCRAP CHUTE,MATERIAL,EXCESSIVE,MISC,CLEAN,VF040631,HA19466,2,2.0,0,3,0,2023-04-24,2,0
M39767047,A119971,"3EMB",15,"NUTS, BOLTS, PINS",MECHANICAL,LOOSENESS,FABINSTALLREL,REPAIR,VF056054,VF045328,2,1.5,0,2,1,2023-04-24,2,0
M39767056,A119981,"3EMB",30,ACTUATOR,MECHANICAL,LOOSENESS,MISC,ADJUST,VF056054,VF045328,1,0.5,0,2,1,2023-04-24,2,0
M39767116,A119859,"3EMB",6590,HOSE,MECHANICAL,LEAKAGE,MISC,REPLACE,VF056054,VF045328,3,12.083333333333334,0,2,1,2023-04-24,2,0
M39768524,A119760,"3EMO",20,CLAMP,MECHANICAL,STICKING,MISC,CLEAN,VF059547,VF032781,2,0.6666666666666666,0,3,0,2023-04-25,3,0
M39771059,A119898,"3EME",0,SWITCH,ELECTRICAL,EARTHISOFAULT,OPERATIONREL,POLISH,VF031827,VF032781,1,0.1,1,3,0,2023-04-25,3,0
M39771062,A119898,"3EME",148,SHAFT,MECHANICAL,LOOSENESS,MISC,REPLACE,VF031827,VF032781,2,3.25,0,3,0,2023-04-25,3,0
M39778865,A119992,"3EMB",60,ACCUMULATOR,MECHANICAL,CLEARALIGNFAIL,DESIGNREL,ADJUST,VF032427,VF045328,3,4.0,0,1,1,2023-04-25,3,0
M39779434,A119992,"3EMB",15,BEARING,MECHANICAL,STICKING,OPERATIONREL,CLEAN,VF056054,VF045328,1,0.5,0,1,1,2023-04-25,3,0
M39779436,A119981,"3EMB",30,SWITCH,MECHANICAL,VIBRATION,OPERATIONREL,MODIFY,VF056054,VF045328,2,1.0,0,1,1,2023-04-25,3,0
M39779443,A119898,"3EME",30,GUIDE PINS,MECHANICAL,VIBRATION,DESIGNREL,RESET,VF056054,VF045328,2,1.5,0,1,1,2023-04-25,3,0
M39779780,A119760,"3EMO",15,SWITCH,ELECTRICAL,FAULTPWRVOLT,OPERATIONREL,CLEAN,VF032595,VF045328,2,1.0,0,1,1,2023-04-25,3,0
M39779880,A119258,"3EMC",3060,SWITCH,ELECTRICAL,FAULTPWRVOLT,OPERATIONREL,REPAIR,VF046729,VF045328,3,8.0,0,2,1,2023-04-25,3,0
M39788271,A119779,"3EMO",445,CYLINDER,MECHANICAL,STICKING,MISC,REPLACE,VF040657,HA20804,3,11.0,0,1,1,2023-04-26,4,0
M39790109,A119971,"3EMB",12,VALVE,PNEUMATIC,CLOGWICONT,MISC,ADJUST,VF056605,HA20804,2,3.0,0,1,1,2023-04-26,4,0
M39790188,A119898,"3EME",20,HOSE,PNEUMATIC,CLOGWICONT,MISC,REPLACE,VF039446,HA20804,1,1.5,0,2,1,2023-04-26,4,0
M39790195,A119981,"3EMB",45,SWITCH,MECHANICAL,LEAKAGE,MISC,ADJUST,VF033640,HA20804,2,2.0,0,2,1,2023-04-26,4,0
M39790198,A119859,"3EMB",0,SEAL,MECHANICAL,LEAKAGE,MISC,REPAIR,VF056605,HA20804,13,55.0,1,2,1,2023-04-26,4,0
M39790203,A119981,"3EMB",45,SWITCH,MECHANICAL,CLEARALIGNFAIL,MISC,CLEAN,VF033640,HA20804,2,3.0,0,2,1,2023-04-26,4,0
M39791408,A119970,"3EMB",10,SWITCH,MECHANICAL,STICKING,MISC,RESET,VF043268,HA19466,1,0.5,0,3,0,2023-04-26,4,0
M39799273,A119258,"3EMC",0,UNKNOWN,EXTERNALINFL,MISCEXTINFL,MISC,INVESTIGATE,VF040535,HA19466,5,7.0,1,3,0,2023-04-27,5,0
M39911716,A119779,"3EMO",45,MACHINE LOADER,MATERIAL,EXCESSIVE,MISC,MODIFY,VF037510,HA19466,2,2.0,0,3,0,2023-04-28,6,0
M39927297,A119760,"3EMO",30,SWITCH,ELECTRICAL,FAULTPWRVOLT,MISC,REPAIR,VF032595,VF045328,2,1.5,0,2,1,2023-04-28,6,0
M39928260,A119258,"3EMC",180,PROBE,ELECTRICAL,NOPWRVOLT,MISC,REPAIR,HA20699,VF032781,3,2.25,0,2,0,2023-04-28,6,0
M39928380,A119779,"3EMO",20,SWITCH,ELECTRICAL,FAULTPWRVOLT,MISC,CLEAN,HA20699,VF032781,4,2.0,0,3,0,2023-04-28,6,0
M40078359,A119779,"3EMO",20,MACHINE LOADER,MECHANICAL,CLEARALIGNFAIL,MISC,CLEAN,VF037510,HA19466,3,1.5,0,1,1,2023-05-01,2,0
M40078381,A119779,"3EMO",45,MACHINE LOADER,MECHANICAL,LOOSENESS,MISC,REPLACE,VF037510,HA19466,3,3.0,0,1,1,2023-05-01,2,0
M40078479,A119779,"3EMO",30,MACHINE LOADER,MECHANICAL,STICKING,MISC,REPLACE,VF037510,HA19466,4,3.5,0,1,1,2023-05-01,2,0
M40078530,A119971,"3EMB",30,OTHER,EXTERNALINFL,CONTAMINT,MISC,CLEAN,HA18137,HA19466,2,2.0,0,2,1,2023-05-01,2,0
M40083757,A119981,"3EMB",26,ARM TOOLING,MECHANICAL,STICKING,MISC,CLEAN,HA20804,VF045328,1,0.5,0,3,0,2023-05-02,3,0
M40087094,A119971,"3EMB",6,SENSOR,ELECTRICAL,NOPWRVOLT,MISC,MODIFY,VF056605,HA20804,2,3.8,0,3,0,2023-05-02,3,0
M40093639,A119779,"3EMO",10,FEED TUBE,MECHANICAL,VIBRATION,MISC,ADJUST,VF037510,HA19466,3,1.5,0,1,1,2023-05-02,3,0
M40093989,A119971,"3EMB",10,SWITCH,ELECTRICAL,NOPWRVOLT,MISC,RESET,VF043268,HA19466,2,2.0,0,1,1,2023-05-02,3,0
M40094356,A119779,"3EMO",30,MACHINE LOADER,MECHANICAL,STICKING,MISC,CLEAN,VF037510,HA19466,4,4.0,0,1,1,2023-05-02,3,0
M40095760,A119779,"3EMO",195,CYLINDER,MECHANICAL,LEAKAGE,MISC,REPAIR,VF040657,HA20804,4,12.0,0,2,0,2023-05-02,3,0
M40098301,A119258,"3EMC",20,VARI-LIMIT,MECHANICAL,CLEARALIGNFAIL,MISC,ADJUST,HA23032,HA20804,3,1.5,0,3,0,2023-05-03,4,0
M40098542,A119898,"3EME",40,OTHER,MECHANICAL,STICKING,MISC,CLEAN,VF039446,HA20804,2,3.0,0,3,0,2023-05-03,4,0
M40098572,A119898,"3EME",10,PHOTO EYES,ELECTRICAL,FAULTPWRVOLT,MISC,CLEAN,VF039446,HA20804,2,0.6666666666666666,0,3,0,2023-05-03,4,0
M40107718,A119779,"3EMO",35,SWITCH,ELECTRICAL,FAULTPWRVOLT,MISC,REPAIR,VF046345,VF045328,3,3.0,0,1,1,2023-05-03,4,0
M40107887,A119898,"3EME",20,PHOTO EYES,ELECTRICAL,SHORTCIRCUIT,MISC,CLEAN,VF033527,VF045328,2,1.0,0,2,1,2023-05-03,4,0
M40111203,A119779,"3EMO",30,SWITCH,MECHANICAL,LOOSENESS,MISC,REPAIR,HA20699,VF032781,2,1.5,0,3,0,2023-05-04,5,0
M40112174,A119898,"3EME",260,ACTUATOR,MECHANICAL,STICKING,MISC,INVESTIGATE,VF031827,VF032781,4,8.0,0,3,0,2023-05-04,5,0
M40115345,A119779,"3EMO",15,SWITCH,ELECTRICAL,FAULTPWRVOLT,MISC,RESET,VF032595,VF045328,2,1.5,0,1,1,2023-05-04,5,0
M40116526,A119898,"3EME",45,ACTUATOR,MECHANICAL,CLEARALIGNFAIL,MISC,REPAIR,VF033527,VF045328,3,3.0,0,1,1,2023-05-04,5,0
M40116590,A119971,"3EMB",90,ACCUMULATOR,MECHANICAL,CLEARALIGNFAIL,DESIGNREL,ADJUST,VF032427,VF045328,1,2.5,0,1,1,2023-05-04,5,0
M40116594,A119981,"3EMB",10,ACCUMULATOR,ELECTRICAL,EARTHISOFAULT,DESIGNREL,CLEAN,VF032427,VF045328,2,1.0,0,1,1,2023-05-04,5,0
M40116709,A119981,"3EMB",40,CHAIN,MECHANICAL,CLEARALIGNFAIL,MISC,CLEAN,VF032770,VF045328,1,0.5,0,2,1,2023-05-04,5,0
M40124435,A119898,"3EME",90,CONNECTOR,MATERIAL,BREAKAGE,DESIGNREL,REPLACE,VF040631,HA19466,2,4.0,0,1,1,2023-05-05,6,0
M40124654,A119970,"3EMB",30,SPINDLE,EXTERNALINFL,CONTAMINT,MISC,CLEAN,HA18137,HA19466,2,1.5,0,1,1,2023-05-05,6,0
M40128041,A119971,"3EMB",0,PROGRAM,EXTERNALINFL,MISCEXTINFL,MISC,RESET,VF056605,HA20804,2,2.0,1,3,0,2023-05-06,7,1
M40145199,A119779,"3EMO",15,SWITCH,INSTRUMENT,FAULTPWRVOLT,MISC,CLEAN,VF040657,HA20804,4,1.6666666666666667,0,3,0,2023-05-08,2,0
M40145214,A119779,"3EMO",30,SWITCH,PNEUMATIC,LEAKAGE,MISC,CLEAN,VF040657,HA20804,4,3.0,0,3,0,2023-05-08,2,0
M40145792,A119970,"3EMB",30,ARM TOOLING,MECHANICAL,STICKING,MISC,RESET,VF033640,HA20804,2,1.3333333333333333,0,3,0,2023-05-08,2,0
M40147966,A119898,"3EME",30,ACCUMULATOR,EXTERNALINFL,MISCEXTINFL,OPERATIONREL,RESET,HA25654,VF032781,2,1.3333333333333333,0,3,0,2023-05-08,2,0
M40152239,A119779,"3EMO",15,SWITCH,ELECTRICAL,FAULTPWRVOLT,MISC,CLEAN,VF046345,VF045328,2,1.0,0,3,0,2023-05-09,3,0
M40157792,A119898,"3EME",30,ACCUMULATOR,EXTERNALINFL,MISCEXTINFL,OPERATIONREL,RESET,VF048682,VF032781,2,1.25,0,1,1,2023-05-09,3,0
M40159124,A119981,"3EMB",15,CLAMP,MECHANICAL,STICKING,MISC,CLEAN,VF025596,VF032781,2,1.0,0,2,1,2023-05-09,3,0
M40159558,A119981,"3EMB",60,VALVE,MECHANICAL,STICKING,DESIGNREL,REPLACE,VF056054,VF045328,2,5.0,0,2,1,2023-05-09,3,0
M40160491,A119779,"3EMO",30,TIP HOLDER,MECHANICAL,LOOSENESS,OPERATIONREL,REPLACE,VF032595,VF045328,2,1.5,0,3,0,2023-05-09,3,0
M40167218,A119779,"3EMO",30,FEED TUBE,MATERIAL,EXCESSIVE,MISC,CLEAN,VF037510,HA19466,2,1.0,0,1,1,2023-05-10,4,0
M40167323,A119258,"3EMC",35,PROGRAM,INSTRUMENT,OUTOFADJ,MISC,MODIFY,VF033641,HA19466,1,0.5833333333333334,0,1,1,2023-05-10,4,0
M40167480,A119981,"3EMB",20,ACCUMULATOR,ELECTRICAL,SHORTCIRCUIT,MISC,ADJUST,VF043268,HA19466,2,1.5,0,1,1,2023-05-10,4,0
M40168169,A119898,"3EME",40,OTHER,MECHANICAL,STICKING,MISC,CLEAN,VF039446,HA20804,1,1.0,0,2,0,2023-05-10,4,0
M40175022,A119992,"3EMB",1211,BALL SCREW,MECHANICAL,LOOSENESS,MISC,REPLACE,VF043268,HA19466,4,17.0,0,2,1,2023-05-11,5,0
M40175055,A119992,"3EMB",0,BALL SCREW,MECHANICAL,LOOSENESS,MISC,REPLACE,HA20804,VF045328,6,34.0,1,2,1,2023-05-11,5,0
M40176365,A119898,"3EME",60,TUBING,MECHANICAL,STICKING,MISC,REPLACE,HA20804,VF045328,2,3.0,0,3,0,2023-05-11,5,0
M40178915,A119779,"3EMO",30,SWITCH,INSTRUMENT,FAULTPWRVOLT,MISC,CLEAN,VF040657,HA20804,2,1.0,0,3,0,2023-05-12,6,0
M40181551,A119992,"3EMB",0,SWITCH,ELECTRICAL,EARTHISOFAULT,DESIGNREL,REPLACE,VF044368,VF032781,1,0.08333333333333333,1,3,0,2023-05-12,6,0
M40183368,A119898,"3EME",270,ARM TOOLING,MECHANICAL,VIBRATION,MISC,MODIFY,VF048682,VF032781,3,7.0,0,1,1,2023-05-12,6,0
M40183708,A119971,"3EMB",60,ORIFICE,HYDRAULIC,LOWFLUIDLVL,MISC,CLEAN,VF025596,VF032781,2,3.0,0,1,1,2023-05-12,6,0
M40187493,A119898,"3EME",90,SWITCH,ELECTRICAL,FAULTPWRVOLT,MISC,RESET,VF032770,VF045328,1,0.5,0,3,0,2023-05-13,7,1
M40219725,A119898,"3EME",30,SCRAP CHUTE,MECHANICAL,LOOSENESS,MISC,RESET,VF033527,VF045328,1,0.5,0,3,0,2023-05-15,2,0
M40224182,A119898,"3EME",45,"NUTS, BOLTS, PINS",MECHANICAL,DEFORMATION,MISC,REPLACE,VF039446,HA20804,1,1.0,0,2,1,2023-05-15,2,0
M40224237,A119898,"3EME",119,"NUTS, BOLTS, PINS",MATERIAL,BREAKAGE,OPERATIONREL,REPLACE,VF040535,HA19466,3,5.333333333333334,0,2,1,2023-05-15,2,0
M40229604,A119971,"3EMB",10,ACCUMULATOR,HYDRAULIC,LEAKAGE,FAILRELMNGMT,INVESTIGATE,VF043268,HA19466,2,1.0,0,3,0,2023-05-16,3,0
M40229733,A119971,"3EMB",30,CHILLER,EXTERNALINFL,BLOCKPLUG,MISC,CLEAN,VF043268,HA19466,3,2.25,0,3,0,2023-05-16,3,0
M40235947,A119992,"3EMB",12,SENSOR,INSTRUMENT,OUTOFADJ,MISC,ADJUST,VF056605,HA20804,3,2.2,0,1,1,2023-05-16,3,0
M40236369,A119779,"3EMO",45,GUIDE PINS,MECHANICAL,CLEARALIGNFAIL,MISC,CLEAN,HA23032,HA20804,3,2.25,0,1,1,2023-05-16,3,0
M40236755,A119992,"3EMB",15,SWITCH,INSTRUMENT,FAULTPWRVOLT,MISC,CLEAN,HA23218,HA20804,2,0.5,0,1,1,2023-05-16,3,0
M40240103,A119992,"3EMB",30,SWITCH,MECHANICAL,CLEARALIGNFAIL,MISC,CLEAN,VF043268,HA19466,2,2.0,0,3,0,2023-05-17,4,0
M40240327,A119779,"3EMO",60,SWITCH,ELECTRICAL,FAULTPWRVOLT,MISC,CLEAN,VF037510,HA19466,2,2.5,0,3,0,2023-05-17,4,0
M40245135,A119347,"3EMB",0,SWITCH,MECHANICAL,LOOSENESS,MISC,REPAIR,VF025596,VF032781,,,1,1,1,2023-05-17,4,0
M40245143,A119347,"3EMB",90,SWITCH,MECHANICAL,LOOSENESS,MISC,MODIFY,VF025596,VF032781,2,4.0,0,1,1,2023-05-17,4,0
M40251904,A119971,"3EMB",200,SWITCH,MECHANICAL,STICKING,MISC,CLEAN,VF025596,VF032781,2,3.5,0,1,1,2023-05-18,5,0
M40254664,A119971,"3EMB",15,SWITCH,MECHANICAL,VIBRATION,MISC,CLEAN,VF056054,VF045328,2,1.0,0,3,0,2023-05-19,6,0
M40259943,A119971,"3EMB",6,SENSOR,INSTRUMENT,FAULTPWRVOLT,MISC,RESET,VF056605,HA20804,2,1.4,0,1,1,2023-05-19,6,0
M40288259,A119898,"3EME",15,CLAMP,MECHANICAL,STICKING,MISC,ADJUST,VF033527,VF045328,3,1.5,0,1,1,2023-05-22,2,0
M40288924,A119971,"3EMB",15,SWITCH,MECHANICAL,CLEARALIGNFAIL,MISC,CLEAN,VF056054,VF045328,2,3.0,0,2,1,2023-05-22,2,0
M40314949,A119971,"3EMB",30,SWITCH,MATERIAL,WEAR,MISC,CLEAN,VF025596,VF032781,3,3.0,0,3,0,2023-05-24,4,0
